"tablescraper-selected-row href","lazy-image src","date","category","title","box_text"
"https://www.detik.com/jabar/pilkada/d-7559695/ahmad-syaikhu-ingin-gaji-guru-honorer-setara-umk-di-jabar","https://akcdn.detik.net.id/community/media/visual/2024/09/26/ahmad-syaikhu-calon-gubernur-jabar-saat-berkunjung-ke-sukabumi_43.jpeg?w=300&q=80","Jumat, 27 Sep 2024 01:30 WIB","detikJabar","Ahmad Syaikhu Ingin Gaji Guru Honorer Setara UMK di Jabar","Calon Gubernur Jawa Barat Ahmad Syaikhu ingin agar gaji guru honorer setara dengan UMK kabupaten/kota."
"https://www.detik.com/jabar/pilkada/d-7556647/syaikhu-bicara-pemberdayaan-lulusan-sma-smk-di-jawa-barat","https://akcdn.detik.net.id/community/media/visual/2024/08/29/ahmad-syaikhu-ilham-habibie-daftar-ke-kpu-jawa-barat_43.jpeg?w=300&q=80","Selasa, 24 Sep 2024 22:21 WIB","detikJabar","Syaikhu Bicara Pemberdayaan Lulusan SMA/SMK di Jawa Barat","Calon Gubernur Jabar Ahmad Syaikhu, bicara soal meningkatkan kualitas SDM lulusan SMA dan SMK di Jabar agar bisa bersaing di dunia industri."
"https://www.detik.com/jabar/berita/d-7555146/tokoh-pewayangan-di-balik-nomor-urut-peserta-pilgub-jabar-2024","https://akcdn.detik.net.id/community/media/visual/2024/09/24/prosesi-pengambilan-nomor-urut-peserta-pilgub-jabar_43.jpeg?w=300&q=80","Selasa, 24 Sep 2024 12:30 WIB","detikJabar","Tokoh Pewayangan di Balik Nomor Urut Peserta Pilgub Jabar 2024","Kontestasi Pilgub Jabar 2024 menuju babak baru usai pengundian nomor urut empat pasangan calon. KPU Jabar menggabungkan budaya Wayang Golek dalam prosesnya."
"https://news.detik.com/pilkada/d-7552672/kpu-resmi-tetapkan-4-paslon-di-pilgub-jawa-barat","https://akcdn.detik.net.id/community/media/visual/2024/09/18/ilustrasi-pemungutan-suara_43.png?w=300&q=80","Minggu, 22 Sep 2024 17:13 WIB","detikNews","KPU Resmi Tetapkan 4 Paslon di Pilgub Jawa Barat","KPU Jawa Barat telah menetapkan empat pasangan calon yang akan bertanding dalam Pilgub Jabar 2024. Keempat paslon tersebut dinyatakan memenuhi syarat."
"https://news.detik.com/detiktv/d-7550259/ahmad-heryawan-ditunjuk-jadi-plh-presiden-pks-hingga-2025","https://akcdn.detik.net.id/community/media/visual/2024/09/20/plh-presiden-pks-ahmad-heryawan-aher-1_43.jpeg?w=300&q=80","Jumat, 20 Sep 2024 18:09 WIB","detikNews","Ahmad Heryawan Ditunjuk Jadi Plh Presiden PKS hingga 2025","Wakil Ketua Majelis Syuro PKS Ahmad Heryawan alias Aher ditunjuk sebagai Plh Presiden PKS. Aher gantikan Ahmad Syaikhu yang maju di Pilgub Jabar."
"https://www.detik.com/jabar/pilkada/d-7538941/menakar-kelemahan-4-pasangan-pilgub-jabar-2024","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Jumat, 13 Sep 2024 13:45 WIB","detikJabar","Menakar Kelemahan 4 Pasangan Pilgub Jabar 2024","Burhanuddin Muhtadi meriset kelemahan dan PR bapaslon Pilgub Jabar 2024. Dedi Mulyadi unggul popularitas, namun tantangan politik identitas mengancam."
"","","","","Semringah Cak Imin Sambut Elite PKS di Markas PKB",""
"https://news.detik.com/pilkada/d-7533640/eks-gubernur-jabar-aher-jadi-ketua-timses-ahmad-syaikhu-ilham-habibie","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Selasa, 10 Sep 2024 13:08 WIB","detikNews","Eks Gubernur Jabar Aher Jadi Ketua Timses Ahmad Syaikhu-Ilham Habibie","Mantan Gubernur Jawa Barat Ahmad Heryawan atau Aher didapuk menjadi Ketua Tim Sukses bakal pasangan calon Ahmad Syaikhu dan Ilham Habibie."
"https://www.detik.com/jabar/pilkada/d-7525955/ini-hasil-pemeriksaan-kesehatan-4-bapaslon-pilgub-jabar-2024","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Kamis, 05 Sep 2024 14:38 WIB","detikJabar","Ini Hasil Pemeriksaan Kesehatan 4 Bapaslon Pilgub Jabar 2024","Pemeriksaan kesehatan bakal calon Kepala Daerah di Jawa Barat telah dilakukan di Rumah Sakit Hasan Sadikin (RSHS). Begini hasilnya."
"https://www.detik.com/jabar/pilkada/d-7516330/ini-4-bakal-pasangan-calon-gubernur-dan-wagub-jabar-2024","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Jumat, 30 Agu 2024 12:36 WIB","detikJabar","Ini 4 Bakal Pasangan Calon Gubernur dan Wagub Jabar 2024","Empat pasangan calon mendaftar di Pilgub Jabar 2024. Berikut ini daftar bakal pasangan calon Gubernur dan Wakil Gubernur Jabar 2024. Siapa saja mereka?"
"https://www.detik.com/jabar/pilkada/d-7515999/dua-bapaslon-pilgub-jabar-jalani-tes-kesehatan","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Jumat, 30 Agu 2024 09:23 WIB","detikJabar","Dua Bapaslon Pilgub Jabar Jalani Tes Kesehatan","Dua pasangan calon Pilgub Jabar 2024, Dedi Mulyadi-Erwan Setiawan dan Ahmad Syaikhu-Ilham Habibie, menjalani pemeriksaan kesehatan di RSHS Bandung."
